[2023-01-14 13:05:37] No settings files found: /home/toki/servers/mindustry/config/settings.bin and /home/toki/servers/mindustry/config/settings_backup.bin
[2023-01-14 16:29:13] Saving 2 values; 44 bytes
[2023-01-14 16:30:13] Saving 2 values; 44 bytes
[2023-01-14 16:31:13] Saving 2 values; 44 bytes
[2023-01-14 16:32:13] Saving 2 values; 44 bytes
[2023-01-14 16:33:13] Saving 2 values; 44 bytes
[2023-01-14 16:34:13] Saving 2 values; 44 bytes
[2023-01-14 16:35:13] Saving 2 values; 44 bytes
[2023-01-14 16:36:13] Saving 2 values; 44 bytes
[2023-01-14 16:37:13] Saving 2 values; 44 bytes
[2023-01-14 16:38:13] Saving 2 values; 44 bytes
[2023-01-14 16:39:13] Saving 2 values; 44 bytes
[2023-01-14 16:40:13] Saving 2 values; 44 bytes
[2023-01-14 16:41:13] Saving 2 values; 44 bytes
[2023-01-14 16:42:13] Saving 2 values; 44 bytes
[2023-01-14 16:43:13] Saving 2 values; 44 bytes
[2023-01-14 16:44:13] Saving 2 values; 44 bytes
[2023-01-14 16:45:13] Saving 2 values; 44 bytes
[2023-01-14 16:46:13] Saving 2 values; 44 bytes
[2023-01-14 16:47:13] Saving 2 values; 44 bytes
[2023-01-14 16:48:13] Saving 2 values; 44 bytes
[2023-01-14 16:49:13] Saving 2 values; 44 bytes
[2023-01-14 16:50:13] Saving 2 values; 44 bytes
[2023-01-14 16:51:13] Saving 2 values; 44 bytes
[2023-01-14 16:52:13] Saving 2 values; 44 bytes
[2023-01-14 16:53:13] Saving 2 values; 44 bytes
[2023-01-14 16:54:13] Saving 2 values; 44 bytes
[2023-01-14 16:55:13] Saving 2 values; 44 bytes
[2023-01-14 16:56:13] Saving 2 values; 44 bytes
[2023-01-14 16:57:13] Saving 2 values; 44 bytes
[2023-01-14 16:58:13] Saving 2 values; 44 bytes
[2023-01-14 16:59:13] Saving 2 values; 44 bytes
[2023-01-14 17:00:13] Saving 2 values; 44 bytes
[2023-01-14 17:01:13] Saving 2 values; 44 bytes
[2023-01-14 17:02:13] Saving 2 values; 44 bytes
[2023-01-14 17:03:13] Saving 2 values; 44 bytes
[2023-01-14 17:04:13] Saving 2 values; 44 bytes
[2023-01-14 17:05:13] Saving 2 values; 44 bytes
[2023-01-14 17:06:13] Saving 2 values; 44 bytes
[2023-01-14 17:07:13] Saving 2 values; 44 bytes
[2023-01-14 17:08:13] Saving 2 values; 44 bytes
[2023-01-14 17:09:13] Saving 2 values; 44 bytes
[2023-01-14 17:10:13] Saving 2 values; 44 bytes
[2023-01-14 17:11:13] Saving 2 values; 44 bytes
[2023-01-14 17:12:13] Saving 2 values; 44 bytes
[2023-01-14 17:13:13] Saving 2 values; 44 bytes
[2023-01-14 17:14:13] Saving 2 values; 44 bytes
[2023-01-14 17:15:13] Saving 2 values; 44 bytes
[2023-01-14 17:16:13] Saving 2 values; 44 bytes
[2023-01-14 17:17:13] Saving 2 values; 44 bytes
[2023-01-14 17:18:13] Saving 2 values; 44 bytes
[2023-01-14 17:19:13] Saving 2 values; 44 bytes
[2023-01-14 17:20:13] Saving 2 values; 44 bytes
[2023-01-14 17:21:13] Saving 2 values; 44 bytes
[2023-01-14 17:22:13] Saving 2 values; 44 bytes
[2023-01-14 17:23:13] Saving 2 values; 44 bytes
[2023-01-14 17:24:13] Saving 2 values; 44 bytes
[2023-01-14 17:25:13] Saving 2 values; 44 bytes
[2023-01-14 17:26:13] Saving 2 values; 44 bytes
[2023-01-14 17:27:13] Saving 2 values; 44 bytes
[2023-01-14 17:28:13] Saving 2 values; 44 bytes
[2023-01-14 17:29:13] Saving 2 values; 44 bytes
[2023-01-14 17:30:13] Saving 2 values; 44 bytes
[2023-01-14 17:31:13] Saving 2 values; 44 bytes
[2023-01-14 17:32:13] Saving 2 values; 44 bytes
